"","x"
"24","Full NameRavindrasinh Anirudhsinh JadejaBornDecember 06, 1988, Navagam-Khed, SaurashtraAge33y 328dBatting StyleLeft hand BatBowling StyleSlow Left arm OrthodoxPlaying RoleAllrounderTEAMSIndiaChennai Super KingsGujarat LionsIndia AIndia BIndia BlueIndia Emerging PlayersIndia RedIndia Under-19sIndian Board President's XIKochi Tuskers KeralaRajasthan RoyalsRest of IndiaSaurashtraSaurashtra Cricket Association XIWest ZoneDissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling.In October 2019 he became the quickest left-arm bowler to reach 200 Test wickets. Six years before that, he had became the first Indian since Anil Kumble in 1993 to top the ICC ODI bowling rankings. In the IPL, he drew a scarcely believable bid of US$2 million in 2012. In an era in which he was bound to be overshadowed by the artistry of fellow spinner R Ashwin, Jadeja kept his senior colleague on his toes, and often stole the spot when conditions allowed India to play just the one spinner. It helped that he was a captain's dream: arguably the fastest man on the turf and the best fielder in the time that he played, he went on to become an important lower-order batter. Some of his best batting performances came against the top teams, and they were often accompanied by the swordsman's celebration that became his signature. Ten years into his career, he had five Test fifties and a hundred against England - the latter in a partnership of 222 with Rishabh Pant at Edgbaston in 2022 - and four half-centuries against Australia. It was all a far cry from the memes his batting inspired at the start of his career - though the ridicule directed at his three triple-hundreds in domestic cricket back then was more an indictment of the quality of bowling on the Indian first-class circuit at the time. Jadeja shone in India's 2013 Champions Trophy win, finishing as the leading wicket-taker, with 12 wickets, two of those in the final, where he also made an unbeaten 33.His most valuable assets as a bowler are perhaps his fitness and strength, which enable him to go at batters for hours, ready to pounce on any assistance from the pitch. Like with his batting, his bowling highlights too feature the best sides disproportionately. His first Test five-for came against Australia in Delhi in 2013, and was followed by 6 for 138 in his next match, against South Africa in Durban, though that was in an India defeat. When South Africa next visited India, he got stuck into them, with 23 wickets in the four Tests in 2015. Against England at home in 2016-17, he harvested 26; this included an impressive demolition job in Chennai, where he took 7 for 48 after India had racked up 759 runs. Later that season he took 25 wickets when Australia visited for four Tests, to go with the 24 from the previous time, in 2013. Through the first half of his career and beyond, Jadeja's place in the Test side was never quite secure. He had to fight through a serious shoulder injury, and he was even dropped from the squad, but he kept coming back. Of course, these hardships paled in comparison with a tough childhood in Jamnagar, and the hard knocks that marked his early career, including being banned by the IPL for a year for essentially trying to negotiate his salary. In that tournament, Jadeja has been synonymous with Chennai Super Kings, for whom he has taken over 100 wickets over nine seasons and whom he briefly captained in 2022.
View more"
"25","Full NameKrishnakumar Dinesh KarthikBornJune 01, 1985, Madras (now Chennai), Tamil NaduAge37y 151dAlso Known AsDineshBatting StyleRight hand BatBowling StyleRight arm OffbreakFielding PositionWicketkeeperPlaying RoleWicketkeeper BatterTEAMSIndiaAbahani LimitedAlbert TUTI PatriotsDelhi DaredevilsGujarat LionsICC World XIIdream Karaikudi KaalaiIndia AIndia BlueIndia Under-19sIndian Board President's XIKings XI PunjabKolkata Knight RidersMumbai IndiansRoyal Challengers BangaloreSouth ZoneTamil NaduNot many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. Karthik was still a giant in domestic cricket though, and had a knack for turning up on turning tracks. No doubt his penchant to sweep, reverse sweep and hare down that track at spinners helped his cause. Those quick feet have at times failed him behind the stumps - often at crucial junctures. He was recalled to the Indian side for a tour of Bangladesh in 2014 - but his wicketkeeping let him down.Karthik made over 1000 first-class runs in the 2008-09 season, with five centuries including a 213 as Tamil Nadu captain as they reached the semi-finals. For five seasons since - barring 2010-11, 2013 [when he played only one match] and 2015-16 - he had maintained a batting average above 40. Karthik found himself in contention again after Dhoni's retirement in 2014, but Wriddhiman Saha was preferred because he was seen as the stronger keeper.An in-and-out history with the Indian team didn't help. He was picked in the one-day squad, as replacement for Parthiv Patel in August 2004, and made his debut in a NatWest Challenge game against England where he pulled off a superb stumping. Shortly afterwards, he was called up to make his Test debut against Australia but when he could manage only one fifty in ten matches, he was axed.He made a comeback in 2008 - picked in the Indian side for all three formats for a tour of New Zealand - but his middling performances continued over the following year and did not allow him to cement a place in the team. He fell out of contention, until a fine 2012-13 domestic season got him back into the ODI side for the 2013 Champions Trophy in England but it proved to be another false dawn.Karthik may feel unfulfilled when he looks back on his international career, but the IPL should have helped soothe him. He was bought at INR 12.5 crore by Delhi Daredevils in the 2014 auction and the next year, he netted INR 10.5 crore courtesy Royal Challengers Bangalore. He was acquired by Gujarat Lions for INR 2.3 crore in 2016.ESPNcricinfo staff
View more"
"26","Full NameHarmanpreet Kaur BhullarBornMarch 08, 1989, PunjabAge33y 236dBatting StyleRight hand BatBowling StyleRight arm OffbreakPlaying RoleAllrounderTEAMSIndia B WomenIndia Green WomenIndia WomenLancashire ThunderManchester Originals (Women)Melbourne Renegades WomenPunjab Women (India)SupernovasSydney ThunderHarmanpreet Kaur lives and swears by her idol Virender Sehwag's mantra of 'see ball, hit ball.' She represents the new-age India women's cricketer, part of a generation that has been at the center of ad campaigns, endorsements and central contracts. She's a path-breaker too, having become the first India cricketer - male or female - to sign a Big Bash League contract with Sydney Thunder in Australia. The deal came about on the back of an impressive showing during India's tour of Australia in January 2016, where she made a 31-ball 46 to script India's highest-ever T20 chase. In June 2017, she became the first Indian to sign with Surrey Stars in ECB's Kia Super League.Harmanpreet broke through in 2009, but it wasn't until 2013 when she stamped her class. Her century against England at the World Cup, albeit in a losing cause, earned her plaudits from opposition captain Charlotte Edwards. Her career graph since has skyrocketed since.In April 2013, she was handed the captaincy when Mithali Raj was rested for the limited-overs series against Bangladesh, making it clear that she is the one in waiting for the job. In November 2016, she replaced Raj as captain of the T20 team for the series against West Indies. ESPNcricinfo staff View more"
"27","Full NameVirat KohliBornNovember 05, 1988, DelhiAge33y 359dBatting StyleRight hand BatBowling StyleRight arm MediumPlaying RoleTop order BatterTEAMSIndiaDelhiIndia AIndia BlueIndia Emerging PlayersIndia RedIndia Under-19sIndian Board President's XINorth ZoneOil & Natural Gas CorporationRest of IndiaRoyal Challengers BangaloreIndia has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them.This ambition transferred seamlessly to his captaincy: he demanded more than ever of his bowlers especially the quick ones, often sacrificed a batsman for bowling depth, and led India to a long stay at No. 1 in Test rankings and a first-ever series win in Australia. He is well on his way to end up as India's most successful Test captain.  Barring one in Bangladesh, Kohli scored Test hundreds in and against every country he played. He absolutely smashed records for number of matches taken to reach eight, nine, ten and eleven thousand ODI runs. He was a genuine threat to Sachin Tendulkar's record of 49 ODI and 51 Test hundreds. An Under-19 world Cup-winning captain, when he burst onto the scene, Kohli was a precocious talent with a cover drive to kill for. He was destined to be India's next big batsman as the Tendulkar era began to retire, but Kohli wanted to be more: a cricketer whom the opposition would be in awe of, a cricketer whose presence would raise the intensity of the contest. He lived every ball, competed each moment, and made sure he had the fitness and strength to do so. He was widely credited for changing the fitness culture in Indian cricket, introducing endurance tests as a criterion for selection. Kohli was quite simply India's most powerful captain. Centre of every marketing campaign for Indian cricket, he also happened to lead at a time when the BCCI was run by interim administrators who knew better than to draw the ire of Indian cricket's biggest star. There was never any cause to doubt his intent: to do things that will win matches for India, which they did plenty under him.
View more"
"28","Full NameKuldeep YadavBornDecember 14, 1994, Kanpur, Uttar PradeshAge27y 320dBatting StyleLeft hand BatBowling StyleLeft arm Wrist spinPlaying RoleBowlerTEAMSIndiaCentral ZoneDelhi CapitalsIndia AIndia Under-19sKolkata Knight RidersMumbai IndiansUttar PradeshUttar Pradesh Under-19sKuldeep Yadav started as a fast bowler when he first joined a cricket academy in Kanpur, but was asked by his coach Kapil Pandey to switch to something much rarer - left-arm wristspin. The change wasn't smooth - Kuldeep admitted that he had even tried once - but he soon realised bowling left-arm wristspin was the way forward for him. And he was good at it too, having not only solid control over the length, but also a potent wrong'un among his variations.There haven't been too many bowlers of his ilk in India, and Kuldeep, therefore, attracted immediate attention after successful stints at the Under-19 level.Kuldeep played his first India U-19 game in April 2012 as a 17-year old and and despite consistently taking wickets, he stayed below the radar.  It was the 2014 edition of the U-19 World Cup in Dubai that pushed his stocks higher. After a wicketless spell in the opening game against Pakistan, Kuldeep picked up a hat-trick in the next game against Scotland. ""As Kuldeep, mere ko wicket nikaalna hai (As Kuldeep, I knew I had to take wickets),"" he said after the match.He gained in stature in the games that followed, repeatedly troubling batsmen with his turn and finished with 14 wickets, the joint second-highest in the tournament. The performance seemed to justify why Kolkata Knight Riders' scouts had forked out $66,000 for him in the IPL auction prior to the Under-19 World Cup.Kuldeep had been part of the Mumbai Indians set-up in the 2012 season where he had a fond memory of bamboozling Sachin Tendulkar once in the nets with his wrong'un. That did not translate into an IPL debut. Nor did it happen with Knight Riders in the 2014 season. He had to wait until the Champions League where, playing as a support bowler to Sunil Narine, he impressed with his economy. Following those performances, he was included in India's ODI squad for the series against West Indies in October 2014, and he made his first-class and List A debuts shortly after.Having established himself in the Uttar Pradesh and India A sides, Kuldeep made his Test debut against Australia in a deciding match in Dharamsala in March 2017 and claimed 4 for 68 in the first innings.ESPNcricinfo staffView more"
"29","Full NameBhuvneshwar Kumar SinghBornFebruary 05, 1990, Meerut, Uttar PradeshAge32y 267dBatting StyleRight hand BatBowling StyleRight arm MediumPlaying RoleBowlerTEAMSIndiaAustralian Institute of SportCentral ZoneIndia AIndia BlueIndia Emerging PlayersIndia RedIndian Tobacco CompanyPune WarriorsRoyal Challengers BangaloreSunrisers HyderabadUttar PradeshUttar Pradesh Cricket Association XIBhuvneshwar Kumar, like the other wily Kumar, Praveen, comes from Meerut, a northern Indian town known for - among other things - the industrial production of sports goods, most famously those under the brand SG. No wonder then that once thrown the new SG ball, Bhuvneshwar can make it hoop around corners, mostly back into the right-hand batsman but he gets it to hold its line often enough to be a genuine threat. Like the other Kumar, though, Bhuvneshwar operates at a middling pace of early 130s, but India weren't spoilt enough for choices to deny him an international debut season at the age of 22, in late 2012.Bhuvneshwar said a roaring hello to international cricket. In his first international over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash of a four-Test series. Apart from the swing, Bhuvneshwar's control of it and his cricketing smartness stand out. It stood out the time when he, as a 19-year-old, worked Sachin Tendulkar over for his first first-class duck in Indian domestic cricket. The cricketing smartness showed with the bat too when he scored 128 batting at No. 8, winning a Duleep Trophy semi-final in 2012-13, just before his selection for India. Bhuvneshwar was one of the lone bright spots in an otherwise wretched tour of England, taking 19 wickets at 26.63, an Indian record for most wickets against England in a Test series. He was dragged down by injury in Australia and played only one game in the 2015 World Cup.
Sidharth Monga View more"
"30","Full NameSmriti Shriniwas MandhanaBornJuly 18, 1996, Bombay (now Mumbai), MaharashtraAge26y 104dBatting StyleLeft hand BatBowling StyleRight arm OffbreakPlaying RoleOpening BatterTEAMSBrisbane Heat WomenIndia Green WomenIndia WomenMaharashtra WomenSouthern Brave (Women)Sydney Thunder WomenTrailblazersWestern Storm"
"31","Full NameSabbhineni MeghanaBornJune 07, 1996, Krishna, Andhra PradeshAge26y 145dBatting StyleRight hand BatBowling StyleRight arm MediumPlaying RoleOpening BatterTEAMSAndhra WomenIndia WomenTrailblazers"
"32","Full NameMeghna SinghBornJune 18, 1994, Bijnor, Uttar PradeshAge28y 134dBatting StyleRight hand BatBowling StyleRight arm MediumPlaying RoleBowlerTEAMSIndia A WomenIndia WomenSupernovasUttar Pradesh WomenVelocity"
"33","Full NameMohammed Shami AhmedBornSeptember 03, 1990, Amroha, Uttar PradeshAge32y 57dBatting StyleRight hand BatBowling StyleRight arm FastPlaying RoleBowlerRELATIONSMohammed Kaif (brother)TEAMSIndiaBengalDelhi DaredevilsGujarat TitansICC World XIIndia AKings XI PunjabKolkata Knight RidersMohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new. There were plenty of frustrating times as well. Shami was hopeful of a return to the Indian team in early 2016, but a hamstring injury ruled him out a limited-overs tour of Australia and the Asia Cup in February. He was selected in a 15-man squad for the World T20 in March, but was unable to break into the XI having spent a year out of international cricket. Shami hails from Uttar Pradesh, but plays first-class cricket for Bengal from where he was noticed. He had played only 15 first-class and 15 List A games when he was drafted into India's ODI team to play Pakistan in Delhi in January 2013. He showed the faith wasn't misplaced and returned figures of 9-4-23-1 in a 10-run win, thus becoming only the eighth bowler, and the first Indian, to bowl four or more maiden overs on his ODI debut. His Test debut, which happened in November that year against the touring West Indies, was even more spectacular. He reverse-swung the old ball appreciably,  and at good pace, in the two-match series to take 11 wickets at 16.54. In the summer that followed in England, Shami and Bhuvneshwar Kumar, recorded the second-highest 10th wicket partnership for India in Tests, when they put on 111 runs against England in Nottingham. Shami's quick promotion to international cricket was the result of impressive performances in the 2012-13 Ranji Trophy: in five matches he took 28 wickets at 21.35, including two ten-wicket hauls, against Madhya Pradesh and Hyderabad. He has also enjoyed early success in the Twenty20 format, picking up 14 wickets in his first eight domestic Twenty20 games, and was signed by Kolkata Knight Riders for the 2011 IPL season. He got his first game for them in 2013, and was acquired by Delhi Daredevils in 2014, who retained him in 2016 despite his missing the entire 2015 season with injury. ESPNcricinfo staffView more"
"34","Full NameMohammed SirajBornMarch 13, 1994, HyderabadAge28y 231dBatting StyleRight hand BatBowling StyleRight arm Medium fastPlaying RoleBowlerTEAMSIndiaHyderabad (India)India AIndia BIndia GreenRest of IndiaRoyal Challengers BangaloreSunrisers HyderabadMohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up. Potential translated to performance when he was his state's highest wicket-taker playing only his second season of Ranji Trophy - 41 wickets in nine matches. He was subsequently picked to play for the Rest of India and was brought on board by the India A team as well for a tour of South Africa in July-August 2017. The step up to the big league arrived soon after. 
View more"
"35","Full NameKiran Prabhu NavgireBatting StyleRight hand BatPlaying RoleMiddle order BatterTEAMSIndia WomenNagaland WomenVelocity"
"36","Full NameHardik Himanshu PandyaBornOctober 11, 1993, Choryasi, GujaratAge29y 19dBatting StyleRight hand BatBowling StyleRight arm Medium fastPlaying RoleAllrounderRELATIONSKH Pandya (brother)TEAMSIndiaBarodaGujarat TitansIndia AIndian Board President's XIMumbai IndiansHardik Pandya swears by living life king size and that exuberance finds expression in his powerful hitting in the middle order and brisk seam bowling. He first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in IPL 2015, but displayed greater consistency in the Syed Mushtaq Ali domestic T20 tournament in January 2016. He finished as the leading run-getter, for Baroda, with 377 runs in 10 innings at an average of 53.85. Pandya also took 10 wickets and was instrumental in Baroda making the final. He was subsequently called up for India's limited-overs tour to Australia, where he made his international debut, before impressing with the ball on the seamer-friendly pitches in Bangladesh at the Asia Cup. Pandya appeared to be the answer to India's search for a seam-bowling allrounder, and with his sprightly fielding complementing his main skill-sets, he sealed his spot in India's 2016 World T20 squad. While Pandya batted only twice in the tournament, he had a lot more to do with the ball. He bowled the last over against Bangladesh and defended two runs off three balls to help India to a one-run win. A little more than a week after his heroics, Pandya endured the disappointment of bowling a no ball to reprieve Lendl Simmons, whose unbeaten innings helped West Indies clinch the semi-final.ESPNcricinfo staffView more"
"37","Full NameRishabh Rajendra PantBornOctober 04, 1997, Haridwar, UttarakhandAge25y 26dBatting StyleLeft hand BatFielding PositionWicketkeeperPlaying RoleWicketkeeper BatterTEAMSIndiaDelhiDelhi CapitalsDelhi Under-19sIndia AIndia RedIndia Under-19sIndian Board President's XINorth ZoneRishabh Pant moved around from city to city in his early teens to make a name for himself. He switched bases from Roorkee to Delhi to Rajasthan, then returned to Delhi, and was even thrown out of an academy once. A few years down the road, he opened the batting for India in the Under-19 World Cup in Bangladesh, smashed a record-breaking fifty against Nepal and followed it up with a century against Namibia to help India qualify for the semi-finals. Incidentally, his century came on the same day when he was bought by Delhi Daredevils for INR 1.9 crores from a base price of Rs 10 lakhs. A year after making his Ranji Trophy debut at the age of 18 in 2015, Pant broke records by scoring a triple-hundred against Maharashtra and a blistering 48-ball hundred against Jharkhand in the 2016-17 first-class season. In January 2017, he was rewarded with a call-up to India's T20 squad for the three home matches against England.View more"
"38","Full NameAxar Rajeshbhai PatelBornJanuary 20, 1994, Anand, GujaratAge28y 283dAlso Known AsAkshar PatelBatting StyleLeft hand BatBowling StyleSlow Left arm OrthodoxPlaying RoleBowling AllrounderTEAMSIndiaDelhi CapitalsDurhamGujaratIndia AIndia BIndia CIndia RedIndia Under-23sKings XI PunjabMumbai IndiansWest ZoneLeft-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58.Axar scored an IPL contract with Mumbai Indians ahead of the 2013 season but didn't get a game. He had a more impressive season the following year, after switching to Kings XI Punjab - 16 wickets at an economy rate of 6.22 - and was rewarded with a place in the Indian ODI squad for the tour to Bangladesh, though he only played one match.He made his T20 debut against Zimbabwe in 2015, but for the next three years found himself in and out of the limited-overs squads, stepping in more often than not in the absence of Ravindra Jadeja. His Test debut likewise came about when Jadeja was forced to sit out the 2021 England series with a broken thumb. Axar took five wickets on debut in the second Test in Chennai, and followed it up with an 11-wicket haul in the third: he finished the series with 27 wickets. In 2022, he made a 27-ball fifty, his first in ODIs, to seal a series win for India against West Indies.
View more"
"39","Full NameHarshal Vikram PatelBornNovember 23, 1990, Sanand, GujaratAge31y 341dBatting StyleRight hand BatBowling StyleRight arm MediumPlaying RoleBowlerTEAMSIndiaDelhi CapitalsGujaratGujarat Cricket Association XIHaryanaIndia AIndia BIndia Under-19sIndia Under-23sNorth ZoneRoyal Challengers BangaloreA right-arm seamer with a big outswinger, Harshal Patel could have moved to the USA with his family, but he stayed on in India to pursue cricket. After taking 23 wickets at an impressive average of 11 in the 2008-09 Under-19 Vinoo Mankad Trophy, Harshal made his List-A debut for Gujarat in 2008-09. Harshal also played for India in the 2010 Under-19 World Cup in New Zealand and soon bagged an IPL contract with Mumbai Indians.Unable to find a place in the Gujarat side, Harshal moved to Haryana and made an immediate impact in his debut Ranji Trophy season in 2011-12, running through Karnataka and Rajasthan with eight-fors in the quarter-final and semi-final. He finished that Ranji season with 28 wickets and made his IPL debut for Royal Challengers Bangalore against Delhi Daredevils in the 2012 edition. Harshal, however, was largely seen as a back-up seamer in the franchise set-up, instead of a first-choice option. He did not get a game in IPL 2013, but was bought back by the franchise in the 2014 player auction. While his first-class form dipped in between, he made a strong comeback in the 2015-16 season. His tally of 22 wickets in Ranji Trophy 2015-16 added to a haul of 13 wickets in the Vijay Hazare Trophy, in which he also picked up his maiden List A five-for. He was retained by Royal Challengers Bangalore ahead of the IPL 2016 player auction.After fighting through a period of self-doubts, Harshal roared back by picking up 52 wickets in nine matches at the 2019-20 Ranji Trophy, breaking left-arm spinner Rajinder Goel's 36-year-old record for the most wickets in a season for Haryana.But it was in the the 50-over Syed Mushtaq Ali Trophy that season where his all-round prowess came to the fore. He picked up 19 wicketsat an economy of 7.04, the joint second-most that season, just one behind stopper R Sai Kishore. He also contributed massively with the bat, making374 runsat an average of 31.16 and a strike rate of 165.48.Ahead of IPL 2021, he was traded to Royal Challengers Bangalore after a brief stint with Delhi Capitals. It turned out to be a breakthrough year, where he finished with 32 wickets, the joint-most in an IPL season with Dwayne Bravo. His mastery over the dipping yorker and several slower variations earned him plaudits. The performances were enough to impress the national selectors, and a T20I debut followed against the touring New Zealand side in November 2020. In February 2021, Harshal was bought for a mind-boggling INR 10.75 crore (USD 1.4 million) by Royal Challengers. It was 53.75 times his previous IPL salary.ESPNcricinfo staff 
View more"
"40","Full NamePoonam YadavBornAugust 24, 1991, Agra, Uttar PradeshAge31y 67dBatting StyleRight hand BatBowling StyleLegbreak GooglyPlaying RoleBowlerTEAMSBrisbane Heat WomenIndia WomenSupernovasTrailblazers"
